company,ticker,error,linkedinIndustry
Avhan Technologies Pvt. Ltd,,No ticker found,
GenXAI,,No ticker found,
InceptionX,,No ticker found,
Creative Antenna Entertainment LLP,,No ticker found,
Payism Global,,No ticker found,
Commtex Solutions Pvt. Ltd,,No ticker found,
One Verse ,,No ticker found,
Ervon Technology,,No ticker found,
Punch,,No ticker found,
ProCreator - Global Design Agency,,No ticker found,
Restaverse,,No ticker found,
Nilee Games and Future Technologies Pvt. Ltd,,No ticker found,
Crescibit Technology Pvt. Ltd.,,No ticker found,
RebelCreators,,No ticker found,
Fanoz (by PlayCKC),,No ticker found,
Varroc Connect,,No ticker found,
Ovelia Health,,No ticker found,
DSW | Data Science Wizards,,No ticker found,
SIMBOTT - Simulation Technology ,,No ticker found,
Spiel Studios Pvt. Ltd.,,No ticker found,
