companyId,company,ticker,status
151887,Avhan Technologies Pvt Ltd,,No ticker found
79995423,GenXAI,,No ticker found
6607971,InceptionX,,No ticker found
6592221,Creative Antenna Entertainment LLP,,No ticker found
13352777,Payism Global,,No ticker found
780655,Commtex Solutions Pvt Ltd,,No ticker found
101443957,Ervon Technology,,No ticker found
15089080,Punch,,No ticker found
13218813,ProCreator - Global UI UX Design Agency,,No ticker found
92487428,Restaverse,,No ticker found
1782005,Nilee Games and Future Technologies Pvt. Ltd,,No ticker found
79274112,"Crescibit Technology Pvt. Ltd. - UI/UX Design, Website & Mobile App Development Company",,No ticker found
107034015,RebelCreators,,No ticker found
67678569,Fanoz (by PlayCKC),,No ticker found
3532583,Varroc Connect,,No ticker found
106277702,Ovelia Health,,No ticker found
31033270,DSW | Data Science Wizards,,No ticker found
67164538,SIMBOTT - Simulation Technology ,,No ticker found
247385,Spiel Studios Pvt. Ltd.,,No ticker found
37444020,Resiliant Inc ,,No ticker found
35668,Buxis,,No ticker found
104802024,Paiz Capital Investments,,No ticker found
102674977,Kana Health Inc.,,No ticker found
67477868,Cents,,No ticker found
2946549,Avato Systems ,,No ticker found
80381362,Padgea,,No ticker found
28665250,"APiJET, LLC",,No ticker found
99345470,Fisheez,,No ticker found
14534978,Factors.ai,,No ticker found
1230582,CLPS Global,,No ticker found
106044755,Scribbe AI,,No ticker found
43948,Aria Systems,,No ticker found
11008286,Emburse,,No ticker found
106137514,Avallon AI (YC X25),,No ticker found
68528386,"QModo AI, Inc.",,No ticker found
104430292,Zelody,,No ticker found
10138274,Ainstein AI,,No ticker found
70457630,SQOR.ai,,No ticker found
